"month","tmin","tmax","prec","tmean"
"Jan",19.44025132165,29.696363994374,5.44594563785014,24.568307658012
"Feb",20.9587591977074,31.4754147973005,12.3822267415085,26.217086997504
"Mar",23.0739520535665,32.8360686085082,39.5507484941201,27.9550103310374
"Apr",24.2520252625713,33.6005439935984,81.4327905630007,28.9262846280849
"May",24.2240448437949,32.5529385631997,207.171512993201,28.3884917034973
"Jun",23.907597134734,31.465934461002,247.378387374776,27.686765797868
"Jul",23.6782779437255,30.8524944150506,287.913723684151,27.265386179388
"Aug",23.6067234487898,30.6388874788343,289.157486993119,27.1228054638121
"Sep",23.4188799294756,30.2355524351847,319.107360914152,26.8272161823302
"Oct",22.9055543048945,29.8088214055795,210.542604659222,26.357187855237
"Nov",21.8139498495895,29.3364402212969,74.3559576301714,25.5751950354432
"Dec",20.0035229223116,28.8859863081824,16.7991354585125,24.444754615247
