"GID_1","GID_0","COUNTRY","province","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","hist_tmean","hist_tmax","hist_prec","temp_change_ssp245_4560","tmax_change_ssp245_4560","prec_change_ssp245_4560","wet_prec_change_ssp245_4560","dry_prec_change_ssp245_4560","wet_temp_change_ssp245_4560","dry_temp_change_ssp245_4560","temp_change_ssp245_6180","tmax_change_ssp245_6180","prec_change_ssp245_6180","wet_prec_change_ssp245_6180","dry_prec_change_ssp245_6180","wet_temp_change_ssp245_6180","dry_temp_change_ssp245_6180","temp_change_ssp585_4560","tmax_change_ssp585_4560","prec_change_ssp585_4560","wet_prec_change_ssp585_4560","dry_prec_change_ssp585_4560","wet_temp_change_ssp585_4560","dry_temp_change_ssp585_4560","temp_change_ssp585_6180","tmax_change_ssp585_6180","prec_change_ssp585_6180","wet_prec_change_ssp585_6180","dry_prec_change_ssp585_6180","wet_temp_change_ssp585_6180","dry_temp_change_ssp585_6180"
"KHM.1_1","KHM","Cambodia","Bântéay Méanchey","Banteay Mean Cheay",NA,"Khêt","Province",NA,"KH.OM","KH-1",27.7,32.5,1122,1.73,1.59,2.49,3.05,-1.58,1.69,1.79,2.25,2.1,3.37,4.19,-2.47,2.2,2.33,2.15,1.99,3.42,4.2,-2.17,2.07,2.27,3.34,3.14,5.25,5.95,0.32,3.22,3.51
"KHM.2_1","KHM","Cambodia","Batdâmbâng","Battambang|Baat Dambang|Bat Dâm",NA,"Khêt","Province",NA,"KH.BA","KH-2",27.3,31.7,1460,1.68,1.54,2.97,3.68,-2.13,1.64,1.72,2.18,2.04,4.35,5.29,-2.41,2.15,2.23,2.08,1.93,3.32,4.14,-2.53,2.01,2.19,3.24,3.05,5.45,6.26,-0.42,3.13,3.38
"KHM.3_1","KHM","Cambodia","Kâmpóng Cham","Kampong Chaam|Kompong Cham",NA,"Khêt","Province",NA,"KH.KM","KH-3",27.5,31.6,1652,1.72,1.57,2.04,2.6,-3.2,1.69,1.75,2.21,2.07,3.29,4.05,-3.79,2.18,2.26,2.1,1.93,2.77,3.59,-4.9,2.04,2.18,3.24,3.05,5.13,5.91,-2.12,3.13,3.38
"KHM.4_1","KHM","Cambodia","Kâmpóng Chhnang","Kompong Chnang",NA,"Khêt","Province",NA,"KH.KG","KH-4",27.5,31.6,1482,1.71,1.58,2.18,2.68,-2.19,1.69,1.75,2.21,2.07,3.67,4.39,-2.62,2.18,2.26,2.09,1.92,3.09,3.77,-2.94,2.02,2.17,3.22,3.02,5.44,6.12,-0.52,3.12,3.36
"KHM.5_1","KHM","Cambodia","Kâmpóng Spœ","Kampong Speu|Kompong Speu|Kompon",NA,"Khêt","Province",NA,"KH.KS","KH-5",27.2,31.2,1532,1.73,1.63,1.41,2.05,-3.13,1.67,1.81,2.21,2.11,3.13,4.06,-3.42,2.15,2.29,2.06,1.93,3.28,4.21,-3.28,1.98,2.17,3.17,3.02,5.54,6.56,-1.66,3.05,3.32
"KHM.6_1","KHM","Cambodia","Kâmpóng Thum","Kampong Thom|Kompong Thom",NA,"Khêt","Province",NA,"KH.KT","KH-6",27.2,31.4,1572,1.74,1.59,1.54,2.05,-3.5,1.72,1.77,2.26,2.12,2.41,3.08,-4.13,2.23,2.31,2.13,1.95,2.09,2.77,-4.61,2.07,2.21,3.27,3.07,3.86,4.46,-2.03,3.17,3.41
"KHM.7_1","KHM","Cambodia","Kâmpôt",NA,NA,"Khêt","Province",NA,"KH.KP","KH-7",26.8,30.5,2130,1.71,1.66,0.89,1.72,-4.61,1.65,1.8,2.16,2.11,2.92,4.04,-4.52,2.1,2.25,2.02,1.94,3.24,4.33,-3.99,1.94,2.12,3.07,2.99,5.37,6.69,-3.38,2.98,3.2
"KHM.8_1","KHM","Cambodia","Kândal","Kandaal",NA,"Khêt","Province",NA,"KH.KN","KH-8",27.7,31.4,1292,1.7,1.58,2.21,2.84,-2.89,1.66,1.76,2.18,2.05,4.4,5.35,-3.2,2.13,2.25,2.06,1.92,3.85,4.77,-3.57,1.99,2.16,3.17,3.01,6.74,7.76,-1.44,3.06,3.33
"KHM.9_1","KHM","Cambodia","Kaôh Kong","Koh Kong",NA,"Khêt","Province",NA,"KH.KK","KH-9",25.9,29.8,2847,1.63,1.56,2.24,2.81,-3.76,1.59,1.68,2.09,2.03,3.62,4.37,-4.12,2.06,2.13,1.96,1.87,3.52,4.23,-3.95,1.91,2.02,3.03,2.93,5.39,6.19,-2.83,2.97,3.12
"KHM.10_1","KHM","Cambodia","Kep","Keb",NA,"Khêt","Province",NA,"KH","KH-23",27.2,30.7,2178,1.67,1.64,0.7,1.61,-4.7,1.62,1.75,2.11,2.07,2.71,3.91,-4.48,2.06,2.19,1.98,1.92,2.92,4.05,-3.83,1.92,2.06,3.02,2.97,4.72,6.09,-3.48,2.94,3.12
